,verb
0,جاسوسی
1,پیاده‌روی
2,گوش
3,متمرکز
4,انتظار
5,ادامه
6,صبر
7,متمایز
8,تاکید
9,به‌دنبال
10,ازدحام
11,دستور
12,نعره
13,توجه
14,کشت
15,تربیت
16,جلو
17,اعدام
18,دچار
19,لازم
20,مرتکب
21,ملحق
22,سرنگون
23,کم
24,خواب
25,گشت
26,لو
27,شکست
28,بگومگو
29,برداشت
30,رخنه
31,غیب
32,محکوم
33,جاری
34,یقین
35,صدمه
36,جلوه
37,تکذیب
38,معرفی
39,آغاز
40,قصد
41,بازنویسی
42,خلاص
43,تصرف
44,بخار
45,عوض
46,طلب
47,فعالیت
48,شروع
49,متوجه
50,بسیج
51,محصور
52,متاسف
53,ترسیم
54,فکر
55,حمل
56,طغیان
57,روشن
58,تحقیر
59,التیام
60,بیکار
61,دارا
62,توضیح
63,پرواز
64,اقدام
65,محو
66,سروکار
67,وارد
68,بازرسی
69,نجوا
70,شامل
71,آماده
72,راهنمایی
73,مجسم
74,القا
75,برابری
76,پاره‌پاره
77,میخکوب
78,رد
79,گردگیری
80,خودنمایی
81,اشغال
82,جیغ
83,پی
84,سرازیر
85,سعی
86,رویا
87,رفتار
88,تعقیب
89,سنگینی
90,پراکنده
91,قورت
92,اعتقاد
93,هل
94,آگاهی
95,مجاب
96,جریان
97,چکش
98,دوست
99,نیاز
100,ظهور
101,چسبناک
102,کنترل
103,چاپ
104,عمر
105,ناشی
106,دستگیر
107,تمیز
108,پنهان
109,آغوش
110,غلط
111,بحث
112,مجبور
113,انتقاد
114,صورتی
115,لاپوشانی
116,زمزمه
117,پرداخت
118,اختراع
119,به
120,اطمینان
121,درد
122,تماس
123,دقت
124,دست‌وپا
125,زق‌زق
126,بست
127,صاف
128,ایمان
129,زانو
130,واقع
131,فشار
132,مخفی
133,خودکشی
134,فاصله
135,خیانت
136,کاهش
137,چشم
138,ولو
139,متعلق
140,کلک
141,رونویسی
142,دستکاری
143,علاقمند
144,فرار
145,مواجه
146,اعتراف
147,پایان
148,غلغل
149,تلاش
150,دل
151,گیر
152,رقم
153,بلند
154,ارائه
155,خطر
156,منتهی
157,تحسین
158,درست
159,مطمئن
160,ابراز
161,خشک
162,داخل
163,ایجاد
164,بررسی
165,یاد
166,زنده
167,خیس
168,متهم
169,گفتگو
170,قطع
171,پناه
172,منتشر
173,مشغول
174,دسترسی
175,دوام
176,شادی
177,تزریق
178,پشت
179,بی‌احتیاطی
180,جبران
181,تعمق
182,فرض
183,تغییر
184,پا
185,بدرود
186,بازسازی
187,مجذوب
188,سرگرم
189,سقوط
190,جمع
191,آرزو
192,رها
193,تقدیر
194,تکرار
195,جرات
196,اضافه
197,بهره‌مند
198,ریسک
199,حتم
200,تیک‌تاک
201,هدیه
202,مشخص
203,وحشت
204,گرد
205,بد
206,اره
207,گم
208,درگیر
209,بیزار
210,ثابت
211,متعجب
212,رفع
213,متلاشی
214,عقب
215,ناممکن
216,کنار
217,صحبت
218,شعله
219,نمایش
220,غرق
221,کنده‌کاری
222,جابجا
223,محدود
224,خطاب
225,تردید
226,پررویی
227,افزایش
228,پایبند
229,تعجب
230,حساب
231,شایعه
232,ترتیب
233,خارج
234,آرایش
235,تلف
236,ثبت
237,یخ
238,قضاوت
239,دوباره‌نویسی
240,شاهد
241,واقعیت
242,گره
243,منجر
244,اختصاص
245,سوار
246,تداوم
247,اطلاع
248,فراموش
249,شانس
250,مبادرت
251,رژه
252,چیکار
253,سینه
254,قربانی
255,تحمل
256,حاضر
257,برقرار
258,آسیب
259,اجازه
260,برگزار
261,سربه‌نیست
262,انکار
263,کار
264,توقف
265,امکان
266,قلاب
267,مقاومت
268,شلاق
269,موفق
270,مکث
271,بروز
272,مهمان
273,دفاع
274,نصب
275,لخت
276,جارو
277,شکل
278,دریافت
279,پاره
280,دور
281,وانمود
282,قانع
283,تهییج
284,تنها
285,ترجیح
286,شناسایی
287,هدر
288,تکمیل
289,بالا
290,ضبط
291,ناخنک
292,اشاره
293,آغشته
294,پرت
295,خطور
296,خلاصه
297,خزه
298,تکان
299,سخن
300,جستجو
301,تعلق
302,نادیده
303,تقسیم
304,آرام
305,راضی
306,باز
307,درک
308,گزارش
309,پیدا
310,دیکته
311,انجام
312,جلوگیری
313,سوال
314,متفاوت
315,وصل
316,بوسه
317,تعظیم
318,باندپیچی
319,تجسم
320,مبارزه
321,پیش
322,سر
323,ادعا
324,فریاد
325,تدارک
326,حلقه
327,رنج
328,جذب
329,آمادگی
330,وقت‌کشی
331,راه
332,حل
333,مربوط
334,پدید
335,جمع‌آوری
336,تعریف
337,مانع
338,تهیه
339,تنه
340,بیرون
341,نشان
342,اتفاق
343,منعکس
344,بیان
345,سپری
346,نشانه
347,عرق
348,رعایت
349,نابود
350,نفس
351,لقب
352,اشتباه
353,تحریف
354,حس
355,پرورش
356,تبلیغ
357,عضویت
358,تمام
359,خنده
360,خجالت
361,عادت
362,باور
363,روحیه
364,اصرار
365,ناراحت
366,نجات
367,اضافه‌کاری
368,پخش
369,تعارف
370,یادآوری
371,پیشی
372,موجب
373,جان
374,ممکن
375,عبارت
376,همراهی
377,فوت
378,پاک
379,نفس‌نفس
380,بازی
381,اعلام
382,گمان
383,غلبه
384,تایید
385,تصور
386,مراقب
387,برخوردار
388,خیره
389,لذت
390,کثیف
391,پدیدار
392,روغن‌کاری
393,نگران
394,سرفه
395,تامل
396,چمباتمه
397,نگاه
398,بیداد
399,رفت‌وآمد
400,فارغ
401,بیمه
402,تشویق
403,شرط
404,شکنجه
405,سازمان
406,تکیه
407,متشکر
408,کوچک
409,محسوب
410,پیچ
411,عملی
412,تلقین
413,تحمیل
414,باقی
415,جاسازی
416,تصمیم
417,اهمیت
418,ناامید
419,همسر
420,ناپدید
421,برملا
422,حرف
423,تماشا
424,قایل
425,تشکیل
426,قسمت
427,تناسب
428,باد
429,طول
430,وفادار
431,یکه
432,وسوسه
433,سکوت
434,تلقی
435,ضرورت
436,فراهم
437,دست
438,بس
439,تشخیص
440,تحویل
441,قبول
442,نقاشی
443,موج
444,وجود
445,دخالت
446,کر
447,انتخاب
448,ساکت
449,قرار
450,تجاوز
451,بیدار
452,خاموش
453,غارت
454,رسوخ
455,معتقد
456,فاقد
457,حدس
458,رقابت
459,تصدیق
460,تقاضا
461,توزیع
462,دراز
463,منسوخ
464,دوری
465,سازماندهی
466,عصبانی
467,استفاده
468,امتحان
469,حاصل
470,یافت
471,شنا
472,دنبال
473,ایجاب
474,جا
475,جابه‌جا
476,تجزیه
477,برخورد
478,کتک
479,کافی
480,عذاب
481,آشکار
482,نقض
483,شوکه
484,هدایت
485,ستایش
486,قادر
487,بغل
488,تاثیر
489,قیمت
490,امانت
491,منسوب
492,جست‌وجو
493,فایده
494,تلاقی
495,پرسه
496,تفاوت
497,احترام
498,استعمار
499,اجاره
500,حرکت
501,زندگی
502,روبرو
503,موافقت
504,پشت‌پا
505,گرفتار
506,نگه
507,خوش
508,حمله
509,خواهان
510,تبدیل
511,کرایه
512,توانایی
513,شرکت
514,متنفر
515,تظاهر
516,خودداری
517,چنگ
518,گاز
519,مبدل
520,گرسنگی
521,اجتناب
522,ردوبدل
523,صدا
524,ارزش
525,ممنوع
526,نمایان
527,برانداز
528,موافق
529,پرهیز
530,تسلیم
531,تف
532,اعتماد
533,وارسی
534,آتش
535,وصله
536,فرش
537,احساس
538,متحد
539,مشاهده
540,دستبرد
541,تجربه
542,فرورفت
543,شباهت
544,پر
545,حیف
546,بی‌تابی
547,حذف
548,جای
549,قدم
550,حکم
551,هدف
552,سلام
553,عبور
554,علاقه
555,جدا
556,برنده
557,پیروی
558,احاطه
559,قد
560,نسبت
561,احتمال
562,نصیب
563,مستلزم
564,حاکی
565,حضور
566,حقیقت
567,خمیازه
568,لمس
569,هجوم
570,صرف
571,فرق
572,شرم
573,اعتنا
574,کفایت
575,متوقف
576,درپی
577,شرح
578,رخ
579,احتیاج
580,کمک
581,صورت
582,نزدیک
583,ملاقات
584,رشد
585,سختگیری
586,امتناع
587,سکندری
588,جایگزین
589,ازدواج
590,ترک
591,حفظ
592,وقت
593,مصرف
594,پهن
595,مطرح
596,اطاعت
597,بهبود
598,منتظر
599,دوبرابر
600,بعید
601,روی
602,جواب
603,سفر
604,وادار
605,خم
606,تولید
607,نقل
608,غلاف
609,جلب
610,مرتب
611,باعث
612,عنوان
